epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4635.5,1.13801,1.73318,0.97863,1.06891,0.85195,0.81,0.8613,0.62996,0.85683,0.793,0.85966,0.56348,0.98952,1.44034,0.82939,0.97842,0.007129,0.007129,0.007129
31,4772.93,1.11144,1.64838,0.9749,1.05916,0.88217,0.84223,0.88031,0.65657,0.87681,0.83628,0.87363,0.56281,0.9361,1.39474,0.7842,0.94148,0.00703,0.00703,0.00703
32,4911.26,1.0793,1.59533,0.91178,1.04347,0.83304,0.82329,0.87402,0.64742,0.82546,0.81579,0.8595,0.55477,0.94065,1.4136,0.79647,0.96651,0.006931,0.006931,0.006931
33,5048.36,1.06335,1.54839,0.89485,1.03916,0.86789,0.83761,0.89125,0.67454,0.88548,0.8275,0.8865,0.56392,0.92423,1.40116,0.74232,0.9594,0.006832,0.006832,0.006832
34,5189.22,1.0595,1.59382,0.86323,1.02987,0.873,0.835,0.8786,0.66534,0.88724,0.8375,0.87545,0.57147,0.93377,1.41841,0.74995,0.9592,0.006733,0.006733,0.006733
35,5327.81,1.07502,1.57994,0.86798,1.04028,0.87756,0.835,0.8869,0.67494,0.87562,0.8225,0.88355,0.58056,0.88784,1.39272,0.71782,0.94674,0.006634,0.006634,0.006634
36,5467.45,1.07468,1.58787,0.89296,1.04599,0.89781,0.83465,0.9011,0.66959,0.87881,0.8375,0.89411,0.57721,0.93102,1.35859,0.74256,0.95317,0.006535,0.006535,0.006535
37,5604.43,1.04203,1.54772,0.85654,1.01793,0.8825,0.84494,0.89281,0.65182,0.89097,0.81719,0.87947,0.55352,0.92328,1.32041,0.72334,0.96244,0.006436,0.006436,0.006436
38,5758.73,1.09085,1.61594,0.87615,1.04744,0.89229,0.86984,0.89341,0.67871,0.89193,0.865,0.89934,0.59263,0.88228,1.33321,0.72256,0.93367,0.006337,0.006337,0.006337
39,5896.39,1.07698,1.5622,0.88281,1.03419,0.85757,0.875,0.90244,0.6754,0.87756,0.86005,0.90801,0.58774,0.92187,1.30386,0.69507,0.95744,0.006238,0.006238,0.006238
40,6033.71,1.05202,1.50054,0.83309,1.03543,0.86977,0.88497,0.90574,0.67971,0.86732,0.88247,0.90265,0.58282,0.89865,1.3244,0.70103,0.9535,0.006139,0.006139,0.006139
41,6175.37,1.03552,1.46986,0.80684,1.01926,0.89945,0.865,0.90245,0.68359,0.89867,0.855,0.89242,0.57102,0.91964,1.38088,0.67068,0.95428,0.00604,0.00604,0.00604
42,6313.53,1.00442,1.49265,0.77592,1.00318,0.8537,0.86,0.88446,0.6719,0.8749,0.845,0.88627,0.60235,0.92035,1.34755,0.71734,0.94842,0.005941,0.005941,0.005941
43,6451.46,1.00924,1.50394,0.82916,1.01379,0.87639,0.88,0.90157,0.68589,0.87838,0.8667,0.90058,0.60151,0.91025,1.28003,0.67109,0.94824,0.005842,0.005842,0.005842
44,6588.72,1.03147,1.51019,0.81611,1.01512,0.87764,0.87868,0.9153,0.70952,0.87273,0.88,0.9096,0.6122,0.86111,1.29078,0.68983,0.92506,0.005743,0.005743,0.005743
45,6726.79,1.03292,1.51126,0.82027,1.02424,0.85349,0.865,0.90962,0.69845,0.84856,0.86,0.90544,0.59297,0.85044,1.3001,0.6706,0.92796,0.005644,0.005644,0.005644
