epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1120.62,0.8219,1.17954,1.95557,0.73155,0.69109,0.68636,0.68855,0.46461,0.69161,0.66818,0.68138,0.422,0.95014,1.41971,2.66449,0.81505,0.00412904,0.00412904,0.00412904
31,1167.2,0.8104,1.16819,1.90648,0.72219,0.75653,0.73636,0.75581,0.51244,0.7612,0.74091,0.7586,0.46631,0.92308,1.4418,2.60672,0.80511,0.00407252,0.00407252,0.00407252
32,1199.76,0.82495,1.16301,1.86733,0.72262,0.68326,0.68636,0.70276,0.47029,0.71454,0.67128,0.72191,0.46052,1.0437,1.41739,2.72959,0.85896,0.00401469,0.00401469,0.00401469
33,1231.56,0.83951,1.1922,1.85655,0.73856,0.74894,0.65087,0.72835,0.46795,0.78467,0.66364,0.74412,0.4618,0.99448,1.363,2.61405,0.81959,0.00395561,0.00395561,0.00395561
34,1263,0.80404,1.1209,1.87009,0.72053,0.79012,0.63182,0.71543,0.45902,0.76975,0.63825,0.7058,0.4309,1.01131,1.33592,2.8229,0.83314,0.00389534,0.00389534,0.00389534
35,1294.74,0.7919,1.10765,1.84475,0.71613,0.78323,0.66818,0.74472,0.49991,0.76499,0.65455,0.73518,0.4403,0.9358,1.30567,2.65851,0.81479,0.00383395,0.00383395,0.00383395
36,1327.2,0.77547,1.13819,1.77272,0.70221,0.77273,0.69091,0.77029,0.51612,0.76256,0.68182,0.75983,0.46606,0.9478,1.40799,2.35613,0.81151,0.00377148,0.00377148,0.00377148
37,1358.66,0.76749,1.11579,1.69535,0.71081,0.76958,0.70909,0.75743,0.50823,0.7731,0.71818,0.7581,0.46129,0.92656,1.28482,2.44929,0.80473,0.003708,0.003708,0.003708
38,1389.91,0.82176,1.19794,1.82469,0.73641,0.73119,0.66818,0.70453,0.48127,0.73119,0.66818,0.6943,0.4326,0.95602,1.32125,2.4063,0.83848,0.00364358,0.00364358,0.00364358
39,1423.61,0.76799,1.13054,1.69045,0.71275,0.80361,0.62727,0.74489,0.51409,0.80984,0.63182,0.75329,0.48037,0.95169,1.318,2.43989,0.83212,0.00357828,0.00357828,0.00357828
40,1456.63,0.77926,1.06441,1.7046,0.70523,0.73297,0.63636,0.69503,0.46228,0.72773,0.63182,0.6892,0.42103,0.97888,1.36333,2.71526,0.83883,0.00351216,0.00351216,0.00351216
41,1489.08,0.75868,1.08849,1.70563,0.70233,0.79899,0.63636,0.75233,0.52132,0.79899,0.63636,0.74554,0.46461,0.96846,1.29004,2.5075,0.82869,0.00344529,0.00344529,0.00344529
42,1524,0.77497,1.11847,1.76701,0.70442,0.80085,0.62148,0.73121,0.47474,0.75531,0.60909,0.70662,0.44317,0.99156,1.40033,2.61163,0.83778,0.00337773,0.00337773,0.00337773
43,1561.7,0.77067,1.12991,1.70075,0.70762,0.80721,0.66612,0.76592,0.50043,0.79628,0.65738,0.73683,0.44681,0.99177,1.36565,2.41725,0.84312,0.00330955,0.00330955,0.00330955
44,1596.82,0.7492,1.08424,1.55592,0.69583,0.78066,0.68636,0.75737,0.52888,0.79856,0.68473,0.75248,0.4783,0.97879,1.34112,2.47833,0.82589,0.00324082,0.00324082,0.00324082
45,1630.77,0.73072,0.99664,1.53409,0.68808,0.71147,0.67273,0.72852,0.51627,0.71628,0.67727,0.7313,0.45632,0.92135,1.35028,2.63311,0.78123,0.00317161,0.00317161,0.00317161
46,1664.89,0.74858,1.05137,1.55014,0.69332,0.71672,0.65455,0.70719,0.48778,0.72203,0.66364,0.71505,0.45291,0.9395,1.34293,2.35845,0.8179,0.00310198,0.00310198,0.00310198
47,1698.45,0.73485,1.04307,1.54756,0.69405,0.75048,0.69545,0.74802,0.5202,0.76333,0.67727,0.75068,0.47316,0.9251,1.31469,2.38407,0.8261,0.003032,0.003032,0.003032
48,1732.36,0.72247,1.03237,1.52651,0.6877,0.76693,0.69545,0.74795,0.50564,0.7576,0.70455,0.76091,0.46884,0.94585,1.34179,2.33979,0.83752,0.00296174,0.00296174,0.00296174
49,1767.23,0.70781,1.03145,1.51966,0.67774,0.77977,0.69207,0.76629,0.52879,0.77934,0.69033,0.75792,0.48161,0.97386,1.32325,2.52719,0.84503,0.00289128,0.00289128,0.00289128
50,1803.01,0.69729,0.99692,1.41413,0.67945,0.70349,0.64545,0.71209,0.48392,0.72943,0.60909,0.69787,0.43386,0.97364,1.39398,2.56683,0.87143,0.00282067,0.00282067,0.00282067
51,1841.31,0.71432,1.06503,1.51338,0.68521,0.76631,0.67273,0.743,0.50181,0.77149,0.67727,0.73867,0.4379,0.9025,1.36579,2.44316,0.79923,0.00275,0.00275,0.00275
52,1883.67,0.68725,1.0059,1.45942,0.66781,0.79453,0.67727,0.73454,0.52017,0.80859,0.69091,0.76517,0.47027,0.88046,1.35107,2.30344,0.78413,0.00267933,0.00267933,0.00267933
53,1920.07,0.69566,1.0168,1.46906,0.68205,0.69528,0.73636,0.74885,0.53246,0.71835,0.68636,0.74405,0.49613,0.9219,1.33989,2.38614,0.81694,0.00260872,0.00260872,0.00260872
54,1955.94,0.69385,0.97016,1.38647,0.67361,0.75876,0.69545,0.75815,0.52895,0.76303,0.72273,0.77467,0.48757,0.94223,1.33836,2.32773,0.82202,0.00253826,0.00253826,0.00253826
55,1996.93,0.69316,0.99203,1.45657,0.67938,0.69937,0.75909,0.7652,0.53689,0.72543,0.73636,0.7662,0.47447,0.94948,1.4063,2.14056,0.84574,0.002468,0.002468,0.002468
56,2038.23,0.67509,0.97301,1.40367,0.6606,0.77114,0.70455,0.76238,0.52469,0.76617,0.7,0.75974,0.46523,0.90683,1.35671,2.60495,0.80188,0.00239802,0.00239802,0.00239802
57,2077.09,0.67735,0.95498,1.37618,0.66286,0.75879,0.68636,0.75469,0.54294,0.74874,0.67727,0.74515,0.493,0.93015,1.3891,2.54901,0.8166,0.00232839,0.00232839,0.00232839
58,2120.41,0.65061,0.93746,1.36341,0.65207,0.77366,0.71364,0.75633,0.54412,0.75867,0.71449,0.75317,0.49363,0.87207,1.32781,2.24571,0.78849,0.00225918,0.00225918,0.00225918
59,2165.36,0.64869,0.95974,1.33492,0.6576,0.79291,0.64545,0.74856,0.53284,0.74163,0.70455,0.75809,0.48871,0.97586,1.3775,2.2062,0.85892,0.00219045,0.00219045,0.00219045
60,2205.26,0.66593,0.97268,1.35573,0.65903,0.74879,0.70455,0.75424,0.55273,0.75845,0.71364,0.75705,0.49605,0.91889,1.39482,2.26192,0.81495,0.00212227,0.00212227,0.00212227
61,2242.3,0.65166,0.97312,1.34303,0.65636,0.73475,0.75909,0.76716,0.52492,0.73035,0.75455,0.76266,0.46731,0.89728,1.34728,2.18972,0.79293,0.00205471,0.00205471,0.00205471
62,2282.28,0.63088,0.91535,1.29284,0.64437,0.73724,0.71419,0.74987,0.53231,0.73476,0.71818,0.75619,0.48838,0.90389,1.45485,2.31696,0.7979,0.00198784,0.00198784,0.00198784
63,2325.79,0.62887,0.897,1.29053,0.6463,0.73232,0.65909,0.72347,0.53685,0.74242,0.66818,0.73353,0.49,0.93118,1.42023,2.33205,0.83384,0.00192172,0.00192172,0.00192172
64,2373.5,0.62971,0.90488,1.22877,0.64273,0.72727,0.72727,0.74637,0.54356,0.78083,0.69633,0.76454,0.50811,0.92958,1.38687,2.18112,0.83408,0.00185642,0.00185642,0.00185642
65,2417.23,0.60827,0.92312,1.24613,0.64284,0.74161,0.71818,0.73126,0.52316,0.73901,0.70791,0.73195,0.45958,0.91396,1.38265,2.2975,0.83296,0.001792,0.001792,0.001792
