epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9775,2.1837,3.54505,4.71234,1.8207,0,0,0,0,0,0,0,0,1.28833,2.29755,3.99257,1.09934,0.0706977,0.00325581,0.00325581
2,47.3761,1.47251,2.47897,3.17132,1.19914,0.85714,0.03046,0.44162,0.21311,0.85714,0.03046,0.44162,0.19116,1.32502,2.30535,3.2425,1.11044,0.0406324,0.00652391,0.00652391
3,66.7974,1.51771,2.38288,2.43335,1.1768,1,0.0203,0.51015,0.35743,1,0.0203,0.51015,0.35643,1.42827,2.18077,3.05767,1.18264,0.0105012,0.00972602,0.00972602
4,83.7751,1.4787,2.33184,2.23899,1.18627,0.61024,0.45685,0.53677,0.32889,0.61033,0.46701,0.54198,0.34421,1.4476,2.14337,2.4025,1.22968,0.009703,0.009703,0.009703
5,102.982,1.52371,2.34425,2.17495,1.23291,0.66136,0.50761,0.6045,0.37812,0.6226,0.53595,0.60491,0.38206,1.41432,2.07975,2.43641,1.20946,0.009604,0.009604,0.009604
6,120.739,1.49777,2.17536,2.03903,1.17507,0.60959,0.45178,0.54461,0.36775,0.66005,0.4264,0.54704,0.34647,1.39993,2.05434,2.253,1.20592,0.009505,0.009505,0.009505
7,135.79,1.52293,2.21336,2.03399,1.20762,0.65468,0.46193,0.60077,0.39223,0.63309,0.4467,0.58309,0.36844,1.42795,2.27699,2.03478,1.20171,0.009406,0.009406,0.009406
8,150.708,1.46283,2.06055,1.89632,1.17322,0.68182,0.38071,0.54856,0.36355,0.68182,0.38071,0.54925,0.33932,1.4475,2.59908,2.11481,1.18996,0.009307,0.009307,0.009307
9,166.226,1.46262,2.12036,1.76854,1.1777,0.72492,0.60197,0.68889,0.45525,0.73936,0.5904,0.68289,0.44279,1.31055,1.92176,1.92195,1.14065,0.009208,0.009208,0.009208
10,181.22,1.43219,2.0875,1.7166,1.14964,0.7148,0.54707,0.63368,0.424,0.68356,0.54822,0.62933,0.40846,1.40799,1.98001,1.73476,1.14823,0.009109,0.009109,0.009109
11,196.396,1.48359,2.01423,1.6537,1.15393,0.67938,0.43655,0.54769,0.35179,0.67938,0.43655,0.55827,0.34073,1.452,2.19477,1.89045,1.14291,0.00901,0.00901,0.00901
