epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1342.66,1.28191,1.91803,1.19443,1.1023,0.79472,0.66818,0.75004,0.52644,0.80318,0.67273,0.75774,0.47383,1.22852,1.90062,1.10694,1.06053,0.007129,0.007129,0.007129
31,1383.99,1.27567,1.84977,1.13434,1.1056,0.69611,0.72727,0.71683,0.50097,0.70611,0.73169,0.72479,0.45276,1.20769,1.85262,1.16278,1.05939,0.00703,0.00703,0.00703
32,1426.4,1.29781,1.86776,1.13951,1.10891,0.78675,0.66364,0.73045,0.51755,0.77298,0.67727,0.73829,0.47465,1.18845,1.82659,1.15183,1.04295,0.006931,0.006931,0.006931
33,1463.38,1.25235,1.84922,1.13794,1.08889,0.79664,0.66818,0.75224,0.53407,0.78142,0.6825,0.74935,0.48291,1.22162,1.79461,1.12932,1.05941,0.006832,0.006832,0.006832
34,1499.54,1.26655,1.82501,1.12358,1.08852,0.77834,0.62247,0.72881,0.53576,0.77265,0.61792,0.72189,0.47936,1.21239,1.8373,1.19521,1.06936,0.006733,0.006733,0.006733
35,1535.7,1.23407,1.8642,1.14268,1.07299,0.74879,0.70455,0.74874,0.55374,0.73913,0.69545,0.74359,0.49024,1.21554,1.79252,1.16385,1.07438,0.006634,0.006634,0.006634
36,1572.47,1.24004,1.83868,1.13567,1.08334,0.69149,0.72273,0.73199,0.52158,0.69149,0.72273,0.73199,0.47103,1.1743,1.78595,1.18705,1.06079,0.006535,0.006535,0.006535
37,1610.41,1.21348,1.81866,1.0455,1.07164,0.79627,0.70455,0.7635,0.56214,0.80272,0.70909,0.76122,0.50172,1.16844,1.83413,1.11143,1.05224,0.006436,0.006436,0.006436
38,1646.29,1.21438,1.86526,1.0951,1.07195,0.75833,0.70455,0.76418,0.57014,0.75833,0.70455,0.76418,0.51236,1.12649,1.72834,1.12474,1.02185,0.006337,0.006337,0.006337
39,1682.23,1.21129,1.78307,1.07581,1.06719,0.75364,0.72307,0.76719,0.56835,0.75878,0.72727,0.7705,0.52303,1.1578,1.73502,1.10048,1.02497,0.006238,0.006238,0.006238
40,1719.56,1.22686,1.81983,1.09566,1.06161,0.77432,0.71818,0.77182,0.55769,0.78336,0.73182,0.78893,0.51346,1.15243,1.74269,1.11227,1.05051,0.006139,0.006139,0.006139
41,1755.85,1.17202,1.82518,1.00985,1.05897,0.75354,0.72273,0.77424,0.58187,0.74565,0.71818,0.77286,0.51844,1.12594,1.77182,1.01581,1.02387,0.00604,0.00604,0.00604
42,1792.39,1.21248,1.8109,1.0442,1.07887,0.8288,0.67273,0.78909,0.56107,0.76243,0.74398,0.803,0.49943,1.15662,1.7608,1.07118,1.02733,0.005941,0.005941,0.005941
43,1828.65,1.20001,1.79229,1.04953,1.06643,0.81503,0.66818,0.76511,0.55217,0.80394,0.65909,0.75608,0.51427,1.17358,1.79788,1.08116,1.03206,0.005842,0.005842,0.005842
44,1865.44,1.19986,1.71156,1.0104,1.04953,0.76538,0.74545,0.77336,0.56195,0.75867,0.74304,0.77082,0.50745,1.13678,1.75515,1.05896,1.04703,0.005743,0.005743,0.005743
45,1902.63,1.18621,1.77006,1.03497,1.06991,0.74496,0.73636,0.77505,0.57549,0.75709,0.74545,0.78324,0.51979,1.1329,1.7563,1.02082,1.02905,0.005644,0.005644,0.005644
46,1939.22,1.16753,1.71935,1.00313,1.05122,0.72174,0.73636,0.76397,0.55287,0.71009,0.75,0.75905,0.49809,1.17059,1.80228,1.08409,1.03471,0.005545,0.005545,0.005545
47,1976.12,1.156,1.73979,1.02126,1.04633,0.77132,0.70909,0.75592,0.55174,0.77132,0.70909,0.7574,0.49325,1.15326,1.74452,1.10993,1.03819,0.005446,0.005446,0.005446
48,2013.28,1.1474,1.69802,0.99164,1.0416,0.8048,0.6934,0.78662,0.55224,0.79952,0.68886,0.77827,0.49301,1.1978,1.74811,1.1099,1.05611,0.005347,0.005347,0.005347
49,2049.46,1.16737,1.69648,1.00682,1.05463,0.81414,0.67696,0.78377,0.55459,0.8035,0.66911,0.77462,0.49988,1.21633,1.82062,1.06053,1.0528,0.005248,0.005248,0.005248
50,2086.45,1.12528,1.66922,0.96211,1.03371,0.77577,0.67621,0.74655,0.53594,0.78065,0.67944,0.75495,0.49487,1.19422,1.8369,1.06583,1.04645,0.005149,0.005149,0.005149
51,2123.42,1.12467,1.69272,0.95253,1.0307,0.78976,0.71716,0.79374,0.57984,0.78589,0.71364,0.78921,0.53386,1.15325,1.7796,1.01782,1.04571,0.00505,0.00505,0.00505
52,2161.12,1.15649,1.73323,1.02782,1.04622,0.79178,0.69545,0.79254,0.58983,0.74741,0.74091,0.79032,0.51873,1.10991,1.82989,0.99179,1.00924,0.004951,0.004951,0.004951
53,2197.39,1.13021,1.67568,0.93842,1.03416,0.75436,0.73983,0.77915,0.57148,0.74932,0.73371,0.77236,0.50885,1.14268,1.71059,1.01941,1.03752,0.004852,0.004852,0.004852
54,2238,1.10554,1.64788,0.95042,1.01554,0.76215,0.67273,0.76908,0.55805,0.76215,0.67273,0.7683,0.50504,1.14593,1.74858,1.07454,1.03066,0.004753,0.004753,0.004753
55,2285.61,1.12742,1.63278,0.92731,1.02837,0.78773,0.69161,0.79029,0.59555,0.71008,0.76818,0.78955,0.53656,1.08731,1.73184,1.00315,1.01156,0.004654,0.004654,0.004654
56,2327.49,1.15377,1.64106,0.95701,1.04415,0.708,0.80455,0.80758,0.60153,0.708,0.80455,0.80561,0.5415,1.06288,1.68028,0.9649,0.98095,0.004555,0.004555,0.004555
57,2369.56,1.108,1.67476,0.92047,1.01704,0.7177,0.72802,0.77072,0.5699,0.70942,0.72132,0.76237,0.5151,1.10115,1.73621,1.01091,1.01041,0.004456,0.004456,0.004456
58,2413.13,1.12114,1.68229,0.92342,1.02442,0.76369,0.7198,0.78404,0.59066,0.76032,0.7,0.77459,0.52594,1.11803,1.76613,0.9969,1.01812,0.004357,0.004357,0.004357
59,2456.29,1.07906,1.57983,0.90717,1.01255,0.73627,0.75,0.78202,0.592,0.72926,0.75909,0.78658,0.52451,1.12064,1.7642,1.01145,1.02466,0.004258,0.004258,0.004258
60,2501.92,1.09623,1.58219,0.86907,1.01476,0.81325,0.73182,0.80838,0.59722,0.78625,0.75455,0.81088,0.55277,1.11186,1.71888,0.98063,1.01059,0.004159,0.004159,0.004159
61,2544.78,1.07487,1.5953,0.9094,1.01388,0.6996,0.80455,0.80632,0.59702,0.6996,0.80455,0.80636,0.53756,1.08739,1.74098,0.95437,1.00558,0.00406,0.00406,0.00406
62,2587.45,1.07107,1.59834,0.87513,1.00835,0.80076,0.76818,0.82378,0.61648,0.80076,0.76818,0.82008,0.55144,1.07508,1.68919,0.91821,0.98716,0.003961,0.003961,0.003961
63,2627.98,1.04793,1.55465,0.83298,0.99816,0.75829,0.72727,0.78143,0.58423,0.76544,0.71364,0.77746,0.52951,1.08778,1.70646,1.01162,0.99381,0.003862,0.003862,0.003862
64,2672.3,1.06554,1.54874,0.83908,1.0098,0.81196,0.70661,0.79354,0.59828,0.81196,0.70661,0.78965,0.54073,1.06491,1.72275,0.95486,0.99755,0.003763,0.003763,0.003763
65,2714.53,1.04012,1.56698,0.85328,0.99851,0.74862,0.75455,0.78496,0.58669,0.7508,0.75909,0.79494,0.52979,1.07417,1.71279,0.94507,1.00208,0.003664,0.003664,0.003664
66,2755.67,1.04592,1.49847,0.83817,0.99722,0.76124,0.74545,0.77807,0.56558,0.75146,0.74091,0.77741,0.52188,1.12151,1.69716,1.01267,1.015,0.003565,0.003565,0.003565
67,2800.27,1.03612,1.50763,0.83103,0.99824,0.76817,0.72727,0.79285,0.58632,0.76817,0.72727,0.79077,0.53191,1.07754,1.71914,0.99459,0.99677,0.003466,0.003466,0.003466
68,2842.28,1.08858,1.60242,0.90664,1.02306,0.75317,0.74896,0.80639,0.60166,0.71032,0.76818,0.80263,0.55171,1.07082,1.71563,0.96384,0.99353,0.003367,0.003367,0.003367
69,2885.62,1.02233,1.49219,0.8409,0.98309,0.79748,0.67273,0.77193,0.57783,0.80994,0.66818,0.77604,0.52274,1.08923,1.79348,1.01773,1.00519,0.003268,0.003268,0.003268
70,2927.12,1.04629,1.50044,0.85885,0.99738,0.806,0.70909,0.77718,0.59163,0.8002,0.70998,0.78187,0.52271,1.0652,1.66161,0.96185,0.99779,0.003169,0.003169,0.003169
71,2973.33,1.03736,1.52254,0.84148,0.989,0.84168,0.67663,0.77446,0.57545,0.83498,0.66364,0.76438,0.51352,1.04922,1.73428,0.96312,0.98466,0.00307,0.00307,0.00307
72,3015.41,1.02715,1.52078,0.82067,0.99619,0.78946,0.69883,0.75343,0.57381,0.78345,0.68636,0.75763,0.50405,1.06683,1.77141,1.01226,1.00581,0.002971,0.002971,0.002971
73,3057.4,1.05042,1.54832,0.83163,1.00056,0.8206,0.74848,0.81435,0.60199,0.8206,0.74848,0.81306,0.54478,1.07488,1.68007,0.90821,0.99694,0.002872,0.002872,0.002872
74,3102.54,1.01039,1.44439,0.78118,0.99245,0.79194,0.71818,0.78871,0.58987,0.75985,0.73182,0.78239,0.53667,1.06614,1.72204,0.9513,0.99833,0.002773,0.002773,0.002773
75,3142.14,1.01971,1.53441,0.81041,0.9846,0.77861,0.76733,0.81485,0.60841,0.77861,0.76733,0.81274,0.53809,1.06059,1.6826,0.93436,1.00138,0.002674,0.002674,0.002674
76,3184,1.03223,1.46757,0.81606,0.9891,0.77856,0.80455,0.81837,0.5983,0.77335,0.80455,0.82428,0.54387,1.08444,1.72885,0.92148,1.0113,0.002575,0.002575,0.002575
77,3225.09,1.01044,1.49411,0.81438,0.98364,0.85733,0.72273,0.8122,0.61563,0.8683,0.71924,0.81697,0.55496,1.07374,1.70119,0.90429,1.01193,0.002476,0.002476,0.002476
78,3267.86,1.01889,1.47889,0.78431,0.99992,0.7917,0.72727,0.78975,0.60764,0.79123,0.72273,0.78843,0.5412,1.06648,1.71431,0.95817,1.00546,0.002377,0.002377,0.002377
79,3308.25,0.98236,1.4523,0.77059,0.9716,0.80384,0.70909,0.79747,0.59992,0.80384,0.70909,0.79369,0.53647,1.07573,1.74547,0.9325,1.01304,0.002278,0.002278,0.002278
80,3349.85,0.96472,1.4442,0.76185,0.97127,0.77401,0.77273,0.80149,0.61841,0.77678,0.74345,0.79187,0.54342,1.06482,1.74442,0.93216,1.01024,0.002179,0.002179,0.002179
81,3392.58,0.97378,1.40346,0.73817,0.9646,0.75377,0.73749,0.78834,0.60344,0.75377,0.73749,0.78856,0.54752,1.052,1.70548,0.95665,0.99622,0.00208,0.00208,0.00208
82,3436.46,0.93535,1.38548,0.71115,0.95629,0.72034,0.77273,0.79093,0.60579,0.77908,0.7053,0.78746,0.53884,1.05278,1.73659,0.95245,0.99035,0.001981,0.001981,0.001981
83,3476.94,0.96152,1.41412,0.72878,0.97004,0.75591,0.78182,0.80306,0.61674,0.75342,0.76818,0.79513,0.55475,1.04812,1.69621,0.94287,0.98918,0.001882,0.001882,0.001882
84,3520.28,0.9527,1.44378,0.75846,0.95809,0.74017,0.80909,0.81269,0.61445,0.73553,0.80455,0.80943,0.53481,1.03114,1.72266,0.90015,0.99616,0.001783,0.001783,0.001783
85,3561.94,0.962,1.43972,0.73797,0.96718,0.73077,0.77727,0.79286,0.60493,0.7265,0.77273,0.79404,0.55087,1.0688,1.76679,0.90891,1.00529,0.001684,0.001684,0.001684
86,3602.64,0.9644,1.42003,0.71994,0.96094,0.77064,0.76364,0.80249,0.61109,0.77064,0.76364,0.80188,0.54881,1.05358,1.75918,0.91503,1.00622,0.001585,0.001585,0.001585
87,3645.57,0.95769,1.36327,0.72823,0.9687,0.79111,0.73636,0.79224,0.60588,0.79111,0.73636,0.79329,0.54314,1.07134,1.78358,0.94158,1.00625,0.001486,0.001486,0.001486
88,3686.33,0.95089,1.41852,0.73283,0.95424,0.77815,0.74091,0.78857,0.59988,0.77815,0.74091,0.78833,0.53013,1.05442,1.78436,0.94588,0.99856,0.001387,0.001387,0.001387
89,3728.32,0.94798,1.41482,0.7242,0.9627,0.79918,0.70909,0.78454,0.60212,0.80224,0.70068,0.78417,0.53951,1.04273,1.7233,0.94042,0.98986,0.001288,0.001288,0.001288
90,3768.66,0.89655,1.32525,0.67702,0.94111,0.74249,0.78636,0.80286,0.61654,0.74249,0.78636,0.80345,0.5602,1.03679,1.66273,0.93483,0.98978,0.001189,0.001189,0.001189
91,3833.57,0.84082,1.25257,0.60171,0.91593,0.80192,0.73608,0.80196,0.60158,0.81278,0.73013,0.79908,0.54877,1.05995,1.72125,0.93367,1.00302,0.00109,0.00109,0.00109
92,3868.29,0.82921,1.21453,0.59972,0.91037,0.7739,0.74679,0.79627,0.60396,0.7739,0.74679,0.7957,0.548,1.07319,1.74691,0.92178,1.00426,0.000991,0.000991,0.000991
93,3902.11,0.8258,1.19197,0.58507,0.92141,0.76018,0.76364,0.79986,0.60497,0.8181,0.71554,0.79611,0.55141,1.08301,1.7954,0.96395,1.01007,0.000892,0.000892,0.000892
94,3940.26,0.83619,1.17568,0.5981,0.91822,0.7893,0.78326,0.81517,0.61509,0.77984,0.77283,0.80718,0.55015,1.04067,1.77209,0.92434,0.98626,0.000793,0.000793,0.000793
95,3981.27,0.80993,1.10893,0.57155,0.91414,0.7985,0.77453,0.81216,0.60794,0.79313,0.75455,0.80222,0.54586,1.0516,1.81055,0.9415,0.99481,0.000694,0.000694,0.000694
96,4019.46,0.81516,1.12085,0.57953,0.91861,0.77762,0.77273,0.8072,0.61782,0.77304,0.76818,0.80264,0.54858,1.04357,1.79001,0.9523,0.9928,0.000595,0.000595,0.000595
97,4057.32,0.78893,1.14056,0.55139,0.90677,0.76444,0.78182,0.80718,0.6109,0.75556,0.77273,0.80084,0.54923,1.07008,1.81455,0.93903,1.00088,0.000496,0.000496,0.000496
98,4094.69,0.79141,1.13825,0.54678,0.90783,0.77778,0.79545,0.81882,0.61703,0.76,0.77727,0.8033,0.55849,1.0598,1.77476,0.91793,0.99647,0.000397,0.000397,0.000397
99,4131.91,0.80149,1.16749,0.54694,0.91097,0.78636,0.78636,0.8188,0.62108,0.77727,0.77727,0.8096,0.55679,1.06206,1.77793,0.91389,0.99755,0.000298,0.000298,0.000298
100,4172.79,0.79221,1.13587,0.52715,0.89771,0.7848,0.78636,0.81684,0.62109,0.77041,0.75909,0.7986,0.55435,1.04969,1.76456,0.9087,0.99524,0.000199,0.000199,0.000199
