epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,662.354,1.22939,1.76173,1.16148,1.08292,0.81381,0.71574,0.7987,0.58161,0.82108,0.72213,0.81032,0.55645,1.1357,1.64545,1.07234,1.03295,0.00703,0.00703,0.00703
32,686.09,1.25886,1.7962,1.14335,1.07847,0.87416,0.70523,0.79847,0.56366,0.87832,0.69543,0.79701,0.53019,1.15024,1.69983,1.09821,1.04259,0.006931,0.006931,0.006931
33,707.152,1.25213,1.71206,1.14745,1.05726,0.81485,0.71489,0.78252,0.55702,0.82064,0.71997,0.79507,0.5268,1.15675,1.67373,1.06822,1.05442,0.006832,0.006832,0.006832
34,727.831,1.20141,1.63934,1.06065,1.05539,0.86123,0.72081,0.84125,0.56145,0.8673,0.72589,0.85057,0.55061,1.2088,1.6549,1.02577,1.04431,0.006733,0.006733,0.006733
35,748.429,1.23622,1.72472,1.0625,1.03725,0.74022,0.69429,0.75936,0.53048,0.74782,0.72256,0.78168,0.49303,1.1803,1.71858,1.128,1.06639,0.006634,0.006634,0.006634
36,768.787,1.2036,1.67483,1.03703,1.03716,0.74194,0.70051,0.7539,0.54017,0.76344,0.72081,0.786,0.52874,1.17357,1.73498,1.16962,1.05801,0.006535,0.006535,0.006535
37,789.371,1.19689,1.65228,1.01466,1.03798,0.76003,0.80203,0.80571,0.58441,0.7679,0.80611,0.81043,0.53129,1.06288,1.6768,1.02367,1.01428,0.006436,0.006436,0.006436
38,809.765,1.17765,1.74187,1.0597,1.05165,0.78931,0.72265,0.80693,0.58935,0.80926,0.72589,0.82275,0.53987,1.13931,1.6538,1.0072,1.05537,0.006337,0.006337,0.006337
39,830.158,1.15981,1.62281,1.03378,1.03507,0.76344,0.72081,0.77737,0.5535,0.77419,0.73096,0.80595,0.51768,1.15943,1.7505,1.10296,1.06147,0.006238,0.006238,0.006238
40,850.653,1.19697,1.64446,1.01239,1.03961,0.83579,0.72343,0.82326,0.57173,0.8577,0.73096,0.83515,0.51333,1.12491,1.71057,1.03321,1.05217,0.006139,0.006139,0.006139
41,871.078,1.1329,1.64263,1.00499,1.02411,0.82556,0.74475,0.81673,0.56588,0.79347,0.73096,0.79041,0.52757,1.09624,1.69367,1.0012,1.05006,0.00604,0.00604,0.00604
42,895.04,1.2109,1.6639,1.03779,1.06024,0.83612,0.75127,0.83838,0.60393,0.83185,0.74112,0.83182,0.55172,1.13427,1.66834,1.02471,1.04665,0.005941,0.005941,0.005941
43,916.117,1.22602,1.67995,1.05829,1.06432,0.8372,0.73096,0.82706,0.58734,0.85153,0.74619,0.84788,0.54669,1.1462,1.6398,1.01315,1.04994,0.005842,0.005842,0.005842
44,936.413,1.11432,1.52878,0.94591,1.01936,0.7706,0.7665,0.81454,0.57661,0.7757,0.77157,0.83038,0.52756,1.12442,1.68433,1.04102,1.03826,0.005743,0.005743,0.005743
45,956.858,1.14518,1.6554,0.96209,1.02077,0.75275,0.79695,0.81179,0.58724,0.74246,0.7868,0.80879,0.53762,1.08863,1.66512,1.00311,1.04104,0.005644,0.005644,0.005644
46,977.34,1.17703,1.64009,0.99728,1.05267,0.8613,0.69351,0.805,0.59146,0.87381,0.70303,0.82214,0.5442,1.11165,1.67476,1.04485,1.03913,0.005545,0.005545,0.005545
47,998.123,1.1365,1.61418,0.94959,1.02364,0.8166,0.73604,0.80827,0.55933,0.82914,0.74112,0.81979,0.52293,1.17452,1.64428,1.01316,1.06955,0.005446,0.005446,0.005446
48,1018.39,1.09576,1.52625,0.8918,1.00261,0.77087,0.78559,0.81678,0.58919,0.78583,0.77157,0.82263,0.53051,1.12273,1.68438,1.00326,1.03666,0.005347,0.005347,0.005347
49,1038.67,1.10136,1.5274,0.90306,1.02169,0.88306,0.74112,0.83751,0.60502,0.88382,0.74112,0.84329,0.56157,1.09284,1.64747,0.98112,1.02372,0.005248,0.005248,0.005248
50,1059.19,1.08939,1.62292,0.91944,1.00574,0.88428,0.68528,0.8193,0.58525,0.89965,0.69543,0.82913,0.54406,1.12267,1.62176,0.95944,1.04736,0.005149,0.005149,0.005149
51,1079.56,1.11924,1.60587,0.93777,1.01936,0.82175,0.74885,0.82179,0.60387,0.82175,0.74885,0.83105,0.54687,1.08985,1.63301,0.96034,1.03362,0.00505,0.00505,0.00505
52,1103.31,1.14023,1.63275,0.93032,1.02446,0.80705,0.76142,0.83664,0.5985,0.77241,0.80203,0.84708,0.57039,1.1355,1.60799,0.99483,1.03765,0.004951,0.004951,0.004951
53,1124.11,1.09926,1.55296,0.91376,1.0078,0.81022,0.73682,0.81802,0.60182,0.82687,0.75156,0.83612,0.55131,1.08462,1.62876,0.99403,1.02126,0.004852,0.004852,0.004852
54,1144.36,1.11071,1.56771,0.91377,1.00336,0.83781,0.76042,0.83063,0.59539,0.83222,0.75535,0.83464,0.55259,1.10007,1.64897,0.9636,1.02982,0.004753,0.004753,0.004753
55,1164.49,1.11271,1.57522,0.92383,1.00008,0.87778,0.75635,0.86303,0.62808,0.88936,0.7345,0.86331,0.57951,1.06523,1.58904,0.90358,1.01187,0.004654,0.004654,0.004654
56,1184.74,1.02838,1.45888,0.84348,0.992,0.84903,0.74223,0.85444,0.61949,0.85517,0.74931,0.86176,0.58734,1.05448,1.56499,0.93046,1.01799,0.004555,0.004555,0.004555
57,1204.76,1.03251,1.47546,0.82827,0.98108,0.87734,0.76142,0.8487,0.63124,0.89442,0.7665,0.859,0.58058,1.04988,1.556,0.92238,1.00362,0.004456,0.004456,0.004456
58,1225.01,1.07799,1.56945,0.88293,1.00086,0.83985,0.74536,0.82918,0.60656,0.83985,0.74536,0.83653,0.568,1.04881,1.59727,0.90147,1.00224,0.004357,0.004357,0.004357
59,1245.36,1.09554,1.55662,0.87108,1.00211,0.79589,0.81152,0.85486,0.63774,0.79589,0.81152,0.85583,0.57199,1.02033,1.59911,0.91165,0.99313,0.004258,0.004258,0.004258
60,1265.54,1.014,1.44953,0.80255,0.97271,0.88036,0.74112,0.84333,0.63606,0.88639,0.74619,0.85254,0.57727,1.03143,1.58541,0.95101,1.00809,0.004159,0.004159,0.004159
61,1285.89,1.07685,1.51162,0.86048,0.99258,0.89515,0.73096,0.83859,0.62796,0.90137,0.73604,0.85233,0.57351,1.05199,1.545,0.9056,1.02078,0.00406,0.00406,0.00406
62,1309.44,1.02391,1.38766,0.79841,0.97112,0.82855,0.75635,0.84012,0.61491,0.8241,0.7848,0.86013,0.56289,1.04504,1.5966,0.89998,1.01707,0.003961,0.003961,0.003961
63,1330.55,1.0699,1.54639,0.84303,0.98045,0.88304,0.70558,0.83224,0.61666,0.88304,0.70558,0.83802,0.55959,1.03243,1.59433,0.92563,1.01119,0.003862,0.003862,0.003862
64,1351,1.05579,1.45688,0.82489,0.99259,0.82814,0.79188,0.84914,0.62395,0.83368,0.79695,0.85964,0.5834,1.0405,1.60594,0.89673,1.01135,0.003763,0.003763,0.003763
65,1371.43,1.04411,1.49158,0.81541,0.97573,0.8259,0.80203,0.85522,0.62103,0.8259,0.80203,0.86341,0.58433,1.05728,1.61525,0.90715,1.01556,0.003664,0.003664,0.003664
66,1391.98,1.03768,1.44675,0.81914,0.98784,0.8623,0.73604,0.83445,0.62258,0.88093,0.75127,0.86312,0.57574,1.0333,1.60578,0.89414,1.01265,0.003565,0.003565,0.003565
67,1412.45,0.99636,1.37614,0.75434,0.97055,0.86531,0.77157,0.86533,0.62869,0.88391,0.7868,0.88112,0.58828,1.03517,1.59642,0.86212,1.00441,0.003466,0.003466,0.003466
68,1434.88,1.00019,1.3505,0.74486,0.96711,0.86663,0.7665,0.85418,0.64686,0.90331,0.75878,0.87066,0.57997,1.00135,1.51853,0.87522,0.99754,0.003367,0.003367,0.003367
69,1455.85,0.97725,1.43133,0.75332,0.9627,0.88635,0.75218,0.84014,0.63857,0.8993,0.77068,0.86205,0.59009,1.0077,1.56517,0.9151,1.00309,0.003268,0.003268,0.003268
70,1476.34,1.01782,1.48442,0.8223,0.98185,0.93024,0.74458,0.86371,0.64588,0.89583,0.77665,0.88079,0.59788,1.009,1.52967,0.8474,1.00199,0.003169,0.003169,0.003169
71,1496.78,0.98039,1.43719,0.74485,0.95585,0.84998,0.78173,0.84991,0.6285,0.85295,0.7868,0.86859,0.58401,1.0298,1.58173,0.86243,1.01337,0.00307,0.00307,0.00307
72,1520.94,0.97236,1.40107,0.76159,0.95494,0.8238,0.77665,0.84919,0.63156,0.8666,0.73604,0.85236,0.56845,1.03528,1.64786,0.88843,1.0044,0.002971,0.002971,0.002971
73,1542,1.03696,1.46495,0.7995,0.96963,0.81207,0.76772,0.84051,0.62605,0.81207,0.76772,0.84662,0.57636,1.0186,1.57287,0.8627,0.99511,0.002872,0.002872,0.002872
74,1562.35,0.94201,1.36886,0.7012,0.93722,0.86477,0.77904,0.85402,0.62369,0.85928,0.7749,0.8557,0.57638,1.04897,1.5747,0.85402,1.00645,0.002773,0.002773,0.002773
75,1582.93,0.96653,1.35034,0.74646,0.96261,0.82319,0.80356,0.86037,0.63947,0.82537,0.79695,0.8614,0.58021,1.04551,1.59182,0.86262,1.00557,0.002674,0.002674,0.002674
76,1603.35,0.96963,1.35044,0.77826,0.96105,0.83437,0.81827,0.8668,0.64777,0.83437,0.81827,0.87316,0.6024,1.01172,1.54452,0.83811,0.99208,0.002575,0.002575,0.002575
77,1624.06,0.96187,1.32073,0.71078,0.93777,0.86107,0.78173,0.86204,0.65425,0.86352,0.78173,0.86691,0.60519,1.02514,1.53454,0.84999,0.99524,0.002476,0.002476,0.002476
78,1644.34,0.9582,1.39866,0.73096,0.96055,0.89478,0.77157,0.85393,0.63846,0.90066,0.77665,0.86281,0.59687,1.02707,1.55807,0.86256,1.00276,0.002377,0.002377,0.002377
79,1664.83,0.94671,1.37228,0.74086,0.94382,0.8036,0.79695,0.8425,0.64935,0.80872,0.80203,0.85089,0.59419,1.01897,1.57375,0.87328,1.00222,0.002278,0.002278,0.002278
80,1685.17,0.98245,1.42651,0.75761,0.96314,0.84768,0.80711,0.84758,0.64475,0.85834,0.81726,0.8711,0.59799,1.0026,1.55189,0.84627,1.00796,0.002179,0.002179,0.002179
81,1705.44,0.91945,1.3092,0.68922,0.9399,0.87484,0.74112,0.83842,0.63236,0.89479,0.73396,0.85765,0.5828,1.0149,1.57807,0.86869,1.00489,0.00208,0.00208,0.00208
82,1729.21,0.9492,1.40729,0.72715,0.95133,0.86268,0.82741,0.87106,0.65793,0.85738,0.82234,0.88353,0.58811,0.9938,1.56463,0.83513,0.99859,0.001981,0.001981,0.001981
83,1750.32,0.96316,1.32874,0.70892,0.95384,0.84655,0.79188,0.85413,0.64566,0.84655,0.79188,0.86385,0.58997,1.02541,1.58723,0.84901,1.00438,0.001882,0.001882,0.001882
84,1770.73,0.95862,1.41564,0.69518,0.95163,0.86516,0.79188,0.85747,0.6393,0.86516,0.79188,0.86653,0.58093,1.04216,1.57901,0.83736,1.02359,0.001783,0.001783,0.001783
85,1791.06,0.9362,1.38291,0.72493,0.9379,0.86924,0.77665,0.85641,0.65047,0.87891,0.78173,0.87288,0.59375,0.99017,1.50569,0.8098,0.99264,0.001684,0.001684,0.001684
86,1811.41,0.90283,1.35525,0.65621,0.93715,0.83085,0.80711,0.85502,0.65568,0.89828,0.76142,0.86939,0.58886,0.99465,1.53598,0.84062,0.99056,0.001585,0.001585,0.001585
87,1832.04,0.92904,1.28727,0.7071,0.94639,0.89276,0.77665,0.85797,0.66473,0.89893,0.78173,0.87041,0.5992,0.9732,1.53546,0.8355,0.98822,0.001486,0.001486,0.001486
88,1852.39,0.89908,1.28569,0.66754,0.94351,0.93124,0.7665,0.85718,0.65929,0.93741,0.77157,0.87138,0.60136,0.98471,1.53712,0.82244,0.99023,0.001387,0.001387,0.001387
89,1872.41,0.90222,1.32275,0.67511,0.94586,0.89359,0.76727,0.84954,0.65712,0.8995,0.77235,0.8629,0.59703,0.96661,1.54616,0.83822,0.9785,0.001288,0.001288,0.001288
90,1892.52,0.9065,1.29283,0.65249,0.92921,0.90744,0.78173,0.87022,0.66917,0.91656,0.7868,0.88134,0.60015,0.9563,1.54133,0.78919,0.9742,0.001189,0.001189,0.001189
91,1942.17,0.8234,1.12129,0.59069,0.89811,0.86122,0.7868,0.86344,0.65756,0.87234,0.79695,0.87774,0.59943,0.99719,1.53694,0.84018,0.98659,0.00109,0.00109,0.00109
92,1968.22,0.78077,1.14439,0.5459,0.88254,0.89459,0.79695,0.84851,0.65183,0.8996,0.80711,0.86375,0.59064,0.98206,1.53331,0.81823,0.98061,0.000991,0.000991,0.000991
93,1989.12,0.8004,1.13884,0.57554,0.9053,0.88432,0.80711,0.8626,0.65901,0.88988,0.81218,0.8787,0.59755,0.97204,1.53731,0.78816,0.97529,0.000892,0.000892,0.000892
94,2008.98,0.77301,1.10738,0.54114,0.88793,0.89701,0.80711,0.86899,0.66318,0.90313,0.81218,0.88551,0.60445,0.97957,1.53048,0.77288,0.98106,0.000793,0.000793,0.000793
95,2028.98,0.78969,1.12247,0.53074,0.89141,0.89507,0.79188,0.8713,0.66586,0.9008,0.79695,0.88404,0.60329,0.98612,1.53792,0.78586,0.98118,0.000694,0.000694,0.000694
96,2048.98,0.78165,1.10557,0.53007,0.89224,0.86246,0.80711,0.87014,0.66845,0.88288,0.80356,0.88423,0.60605,0.97859,1.53841,0.77453,0.98065,0.000595,0.000595,0.000595
97,2068.8,0.74966,1.06111,0.50261,0.8792,0.85337,0.80203,0.86892,0.6686,0.86526,0.81218,0.88581,0.61045,0.9673,1.5393,0.7769,0.97635,0.000496,0.000496,0.000496
98,2088.77,0.74219,1.0567,0.51449,0.87025,0.89872,0.79188,0.86581,0.66616,0.91842,0.80003,0.87979,0.60081,0.97669,1.53799,0.77547,0.97738,0.000397,0.000397,0.000397
99,2108.81,0.75162,1.05177,0.49622,0.86968,0.89717,0.79718,0.86749,0.66766,0.90261,0.79978,0.88068,0.60736,0.97871,1.53994,0.77197,0.97811,0.000298,0.000298,0.000298
100,2128.65,0.73589,1.13472,0.49865,0.87718,0.90923,0.79695,0.8626,0.66727,0.91852,0.80113,0.87918,0.60882,0.97184,1.54188,0.77532,0.97711,0.000199,0.000199,0.000199
