epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4096,2.28994,3.70331,4.82651,1.91191,0,0,0,0,0,0,0,0,1.42247,2.69583,4.33927,1.2638,0.0811,0.0021,0.0021
2,23.3011,1.45689,2.48375,4.25229,1.23775,0,0,0,0,0,0,0,0,1.22235,2.21834,3.92215,1.07112,0.0612574,0.00425743,0.00425743
3,32.999,1.49354,2.32622,3.1664,1.19769,0,0,0,0,0,0,0,0,1.283,2.55212,3.43404,1.08765,0.0413713,0.0063713,0.0063713
4,41.7186,1.49808,2.40377,2.59205,1.19327,0,0,0,0,0,0,0,0,1.40241,2.31228,3.3327,1.17263,0.0214416,0.00844161,0.00844161
5,50.2533,1.49592,2.23487,2.3998,1.19329,1,0.03046,0.51523,0.25701,1,0.03046,0.51523,0.28244,1.52094,2.23072,2.96074,1.23629,0.009604,0.009604,0.009604
6,58.8417,1.41761,2.11606,2.28824,1.16438,0.61719,0.40102,0.50182,0.33115,0.625,0.40609,0.5178,0.31036,1.32542,2.24954,2.50344,1.11981,0.009505,0.009505,0.009505
7,67.5131,1.42569,2.1154,2.17323,1.15016,0.5869,0.49746,0.56833,0.34803,0.59888,0.50761,0.5883,0.37614,1.37305,2.02187,2.56833,1.16205,0.009406,0.009406,0.009406
8,76.0788,1.37216,2.08178,2.02613,1.11925,0.55861,0.52284,0.52742,0.34603,0.57688,0.51907,0.53792,0.32224,1.33855,2.35887,2.52406,1.14187,0.009307,0.009307,0.009307
9,84.7013,1.41979,1.88453,2.08788,1.15908,0.56614,0.54315,0.57313,0.36501,0.59541,0.54822,0.59506,0.36068,1.3509,2.249,2.32352,1.15555,0.009208,0.009208,0.009208
10,93.399,1.42313,2.0557,1.93389,1.15646,0.52108,0.5026,0.51726,0.31771,0.52556,0.50254,0.5303,0.27681,1.41349,2.44027,2.5838,1.18171,0.009109,0.009109,0.009109
11,102.239,1.43752,2.00459,1.86088,1.16141,0.70445,0.46193,0.57689,0.35316,0.68644,0.46193,0.57128,0.27847,1.37243,2.46251,2.27753,1.17896,0.00901,0.00901,0.00901
12,113.118,1.41048,2.06411,1.79381,1.15345,0.75294,0.32487,0.52834,0.35053,0.77647,0.33503,0.54909,0.3683,1.44364,2.14465,2.28665,1.19439,0.008911,0.008911,0.008911
